bits,rating,average,size,inX,inY,outX,outY,expX,expY,exactX,exactY,diff,errsize,errangle,score,cycles
5,angle,169.02858,0x01,0xFFE1,0x000F,0xFF1A,0x0070,0xFF1A,0x0070,-0.9001592514,0.4355609281,0,0.07021508,515.0756,0.1099586,689
5,diff,0,0x00,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0,0,0,0,0,0,0
5,cycles,696.296875,0x01,0xFFFF,0xFFFF,0xFF4B,0xFF4B,0xFF4B,0xFF4B,-0.7071067812,-0.7071067812,0,0.01068172,0,0.01068172,757
5,exact,100,0x01,0x0012,0x000B,0x00DA,0x0085,0x00DA,0x0085,0.8532818337,0.5214500095,0,0.2467338,153.1574,0.2585515,673
6,score,0.102519319,0x01,0x003C,0x003D,0x00B4,0x00B7,0x00B4,0x00B7,0.7012389761,0.7129262924,0,0.2689559,0,0.2689559,660
6,size,0.0883719673,0x01,0x003C,0x003D,0x00B4,0x00B7,0x00B4,0x00B7,0.7012389761,0.7129262924,0,0.2689559,0,0.2689559,660
6,angle,183.349675,0x01,0x0035,0x0033,0x00B8,0x00B2,0x00B8,0x00B2,0.720571759,0.6933803719,0,0.003051711,547.7013,0.04531262,660
6,diff,0.000992063492,0x01,0x0010,0x002F,0x0053,0x00F2,0x0052,0x00F2,0.3222637978,0.9466499061,1,0.06334404,470.9234,0.09968072,671
6,cycles,683.648438,0x01,0xFFE1,0xFFC1,0xFF8F,0xFF1A,0xFF8F,0xFF1A,-0.4415076512,-0.8972574847,0,0.1014195,126.0997,0.1111494,703
6,exact,99.9007937,0x01,0x003C,0x003D,0x00B4,0x00B7,0x00B4,0x00B7,0.7012389761,0.7129262924,0,0.2689559,0,0.2689559,660
7,score,0.104121091,0x01,0x0077,0x0079,0x00B4,0x00B7,0x00B4,0x00B7,0.7011898782,0.7129745821,0,0.2689559,14.20459,0.270052,1468
7,size,0.0892218394,0x01,0x0077,0x0079,0x00B4,0x00B7,0x00B4,0x00B7,0.7011898782,0.7129745821,0,0.2689559,14.20459,0.270052,1468
